PMID,ISSN,JournalTitle,ISOAbbreviation,ArticleTitle,Authors,Year,Month,Day
12049,0300-5127,Biochemical Society transactions,Biochem Soc Trans,"Interactions of protein, lipid and metal ions in the low-density lipoprotein of hen's-egg yolk.","Swann, J C, JC; Smithers, G W, GW; Burley, R W, RW",1976,NA,NA
12050,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Electron transport in the alkalophile Bacillus pasteurii (N.C.I.B. 8841).,"Haddock, B A, BA; Cobley, J G, JG",1976,NA,NA
12051,0300-5127,Biochemical Society transactions,Biochem Soc Trans,The interaction of clotting factor X with adsorbents containing bivalent cations.,"Howell, R M, RM; Deacon, S L, SL",1976,NA,NA
12052,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Physical studies on calcium phosphate and barium citrate used as clotting-factor adsorbents.,"Deacon, S L, SL; Howell, R M, RM",1976,NA,NA
12053,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Assay of enzyme activity by polarography.,"Weitzman, P D, PD",1976,NA,NA
12054,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Calorimetric characterization of the micellar calcium phosphate in cows' milk.,"Lyster, R L, RL",1976,NA,NA
12055,0300-5127,Biochemical Society transactions,Biochem Soc Trans,The enthalpy of interaction between collagen fibres and denaturing solvents.,"Menashi, S, S; Finch, A, A; Gardner, P J, PJ; Ledward, D A, DA",1976,NA,NA
12056,0300-5127,Biochemical Society transactions,Biochem Soc Trans,(Magnesium plus sodium plus potassium ion)-stimulated adenosine triphosphatase in rat sciatic nerve.,"Das, P K, PK; Bray, G M, GM; Aguyao, A J, AJ; Raminsky, M, M",1976,NA,NA
12057,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Nucleotides and human placental oestradiol-17beta dehydrogenase.,"Shaw, M A, MA; Jeffery, J, J",1976,NA,NA
12058,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Deoxyribonucleic acid polymerase from Chlamydomonas reinhardii.,"Ross, C A, CA; Harris, W J, WJ",1976,NA,NA
12059,0300-5127,Biochemical Society transactions,Biochem Soc Trans,Affinity chromatography of biliverdin reductase.,"Watt, J, J; O'Carra, P, P",1976,NA,NA
12060,0300-5127,Biochemical Society transactions,Biochem Soc Trans,The effect of protein-functional-group reagents on D-gluconate transport in Bacillus subtilis.,"O'Sullivan, M P, MP; McKillen, M N, MN",1976,NA,NA
12061,0029-0629,Nihon Funin Gakkai zasshi,Nihon Funin Gakkai Zasshi,[Cathepsin B1 and other lysosomal enzymes in rat ovary during ovulation (author's transl)].,"Okazaki, T, T; Okamura, H, H; Motohashi, T, T; Morikawa, H, H",1976,Jul,01
12062,0303-7207,Molecular and cellular endocrinology,Mol Cell Endocrinol,Properties of prostaglandin F2alpha receptors in bovine corpus luteum cell membranes.,"Rao, C V, CV",1976,Nov,NA
12063,0016-450X,Gan,Gan,Isozyme patterns of branched-chain amino acid transminase in cultured Morris hepatoma 7316A.,"Tomita, Y, Y; Ichihara, A, A; Masuji, H, H; Sato, J, J",1976,Jun,NA
12064,0016-5085,Gastroenterology,Gastroenterology,Serum gamma-glutamyl transpeptidase activity in viral hepatitis: suppression in pregnancy and by birth control pills.,"Combes, B, B; Shore, G M, GM; Cunningham, F G, FG; Walker, F B, FB; Shorey, J W, JW; Ware, A, A",1977,Feb,NA
12065,0016-6758,Genetika,Genetika,[Effect of O-methylhydroxylamine on extracellular phage cd].,"Preobrazhenskaia, E S, ES; Budovskiĭ, E T, ET; Kriviskiĭ, A S, AS",1976,NA,NA
12066,0016-9900,Gigiena i sanitariia,Gig Sanit,[Viral survival in food products].,"Aĭzen, M S, MS; Pille, E R, ER",1976,Oct,NA
12067,0017-5749,Gut,Gut,Blood pH: a test for assessment of severity in proctocolitis.,"Caprilli, R, R; Vernia, P, P; Colaneri, O, O; Torsoli, A, A",1976,Oct,NA
12068,0017-5749,Gut,Gut,Relationships between mucosal hydrolysis and transport of two phenylalanine dipeptides.,"Silk, D B, DB; Nicholson, J A, JA; Kim, Y S, YS",1976,Nov,NA
12069,0017-5749,Gut,Gut,Effect of metiamide on basal and stimulated serum cholecystokinin levels in duodenal ulcer patients.,"Spence, R W, RW; Celestin, L R, LR; Harvey, R F, RF",1976,Nov,NA
12070,0017-5986,Gynecologic investigation,Gynecol Invest,Reversible norepinephrine binding to rabbit myometrium: relationship to sites of known biological significance.,"Roberts, J M, JM; Keller, D W, DW; Goldfien, A, A",1976,NA,NA
12071,0301-0147,Haemostasis,Haemostasis,Occurrence of C1 inactivator and other proteinase inhibitors in euglobulin fractions and their influence on fibrinolytic activity.,"Kluft, C, C",1976,NA,NA
12072,0018-5043,Hormone and metabolic research = Hormon- und Stoffwechselforschung = Hormones et metabolisme,Horm Metab Res,Studies on the dynamics and mechanism of glibenclamide-induced insulin secretion.,"Basabe, J C, JC; Farina, J M, JM; Chieri, R A, RA",1976,Nov,NA
12073,0301-0163,Hormone research,Horm Res,Plasma testosterone in prepubertal cryptorchid boys under long-term HCG therapy.,"Attanasio, A, A; Rager, K, K; Gupta, D, D",1976,NA,NA
12074,0301-0163,Hormone research,Horm Res,Effects of D-glyceraldehyde and 3-o-methylglucose upon fluorescence of reduced pyridine nucleotides from perifused isolated pancreatic islets.,"Panten, U, U; Ishida, H, H; Beckmann, J, J",1976,NA,NA
12075,0301-0163,Hormone research,Horm Res,Peptidase inactivation of hypothalamic releasing hormones.,"Griffiths, E C, EC",1976,NA,NA
12076,0018-4888,Hoppe-Seyler's Zeitschrift fur physiologische Chemie,Hoppe Seylers Z Physiol Chem,[The biosynthesis of glutathione in human erythrocytes (author's transl)].,"Heinle, H, H; Sawatzki, G, G; Wendel, A, A",1976,Nov,NA
12077,0018-4888,Hoppe-Seyler's Zeitschrift fur physiologische Chemie,Hoppe Seylers Z Physiol Chem,[Does a modified gamma-glutamyl cycle exist in human erythrocytes (author's transl)].,"Heinle, H, H; Wendel, A, A",1976,Nov,NA
12078,0018-5973,Hospitals,Hospitals,Outreach clinic experiment extends care with paramedics.,"Neuhoff, C F, CF",1977,Jan,01
12079,NA,IARC scientific publications,IARC Sci Publ,[Carcinogenic polycyclic aromatic hydrocarbons in petroleum products: possible prevention of mineral oil cancer].,"Thony, C, C; Thony, J, J; Lafontaine, M, M; Limasset, J C, JC",1976,NA,NA
12080,NA,IARC scientific publications,IARC Sci Publ,"Radiation cancer, safety standards and current levels of exposure.","Mole, R H, RH",1976,NA,NA
12081,NA,IARC scientific publications,IARC Sci Publ,[Epidemiological aspects in carcinogenic risk evaluation arising from pollution].,"Flamant, R, R",1976,NA,NA
12082,NA,IARC scientific publications,IARC Sci Publ,Formation of nitrosodimethylamine in smoke from cigarettes manufactured from different tobacco types.,"Spincer, D, D; Westcott, D T, DT",1976,NA,NA
12083,NA,IARC scientific publications,IARC Sci Publ,Nitrosamine formation in the presence of carbonyl compounds.,"Archer, M C, MC; Tannenbaum, S R, SR; Wishnok, J S, JS",1976,NA,NA
12084,NA,IARC scientific publications,IARC Sci Publ,Effect of thiocyanate on nitrite estimation and the cleavage of nitrosamines.,"Boyland, E, E; Woolf, A S, AS",1976,NA,NA
12085,NA,IARC scientific publications,IARC Sci Publ,Effects of gallic acid and of ethanol on formation of nitrosodiethylamine.,"Pignatelli, B, B; Castegnaro, M, M; Walker, E A, EA",1976,NA,NA
12086,NA,IARC scientific publications,IARC Sci Publ,Nitrosation of food amines lnder stomach conditions.,"Walters, C L, CL; Dyke, C S, CS; Saxby, M J, MJ",1976,NA,NA
12087,NA,IARC scientific publications,IARC Sci Publ,Nitrosation of nornicotine and nicotine in gaseous mixtures and aqueous solutions.,"Neurath, G B, GB; Dünger, M, M; Pein, F G, FG",1976,NA,NA
12088,NA,IARC scientific publications,IARC Sci Publ,Nitrosative dealkylation under oxidative conditions as a possible source of nitrosamines.,"Michejda, C J, CJ; Tipton, T J, TJ; Campbell, D H, DH",1976,NA,NA
12089,NA,IARC scientific publications,IARC Sci Publ,Formation of nitrosamines by interaction of some drugs with nitrite in human gastric juice.,"Scheunig, G, G; Ziebarth, D, D",1976,NA,NA
12090,NA,IARC scientific publications,IARC Sci Publ,Effects of some inhibitors on the nitrosation of drugs in human gastric juice.,"Ziebarth, D, D; Scheunig, G, G",1976,NA,NA
12091,NA,IARC scientific publications,IARC Sci Publ,Screening for nitrosodimethylamine in human urine and experiments on the formation of this carcinogen from the analgesic amidopyrine in bacterial model systems.,"Sander, J, J; Walz, G, G",1976,NA,NA
12092,NA,IARC scientific publications,IARC Sci Publ,"Chemical studies on tobacco smoke. XLII. Nitrosonornicotine: presence in tobacco, formation and carcinogenicity.","Hoffmann, D, D; Hecht, S S, SS; Ornaf, R M, RM; Wynder, E L, EL; Tso, T C, TC",1976,NA,NA
12093,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Extracranial carotid aneurysm--a complication of carotid endarterectomy.,"Martinez, N S, NS",1976,Dec,NA
12094,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Emphysematous cholecystitis.,"Amin, P H, PH",1976,Dec,NA
12095,NA,IMJ. Illinois medical journal,IMJ Ill Med J,SIDS: working a model.,"Kadlub, K J, KJ; Kadlub, K G, KG",1976,Dec,NA
12096,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Surgical Grand Rounds. Case report: Tuberculoma.,,1976,Dec,NA
12097,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Social setting alcohol detoxication: a Chicago model.,"West, J W, JW",1976,Dec,NA
12098,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Transport of high risk neonates. Part II: Short term intensive care and stabilization of the sick infant.,"Ramamurthy, R S, RS; Yeh, T F, TF; Pildes, R S, RS",1976,Dec,NA
12099,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Health care in Illinois circa 1776.,"Pearson, E F, EF",1976,Dec,NA
12100,NA,IMJ. Illinois medical journal,IMJ Ill Med J,1918 pandemic influenza and pneumonia in a large civil hospital.,"Nuzum, J W, JW; Pilot, I, I; Stangl, F H, FH; Bonar, B E, BE",1976,Dec,NA
12101,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Increased safety in renal transplantation.,"Hill, J L, JL; Simonian, S J, SJ; Stuart, F P, FP",1977,Jan,NA
12102,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Current treatment of essential hypertension.,"Johnston, L C, LC",1977,Jan,NA
12103,NA,IMJ. Illinois medical journal,IMJ Ill Med J,School screening for scoliosis.,"Newman, D C, DC; DeWald, R L, RL",1977,Jan,NA
12104,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Adolescent solvent abuse.,"Thornton, W E, WE",1977,Jan,NA
12105,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Pancreatic pseudocyst. Case history.,"Churchill, R, R; Reynes, C J, CJ",1977,Jan,NA
12106,NA,IMJ. Illinois medical journal,IMJ Ill Med J,Surgical grand rounds. Case report: liver tumor.,,1977,Jan,NA
12107,0019-2791,Immunochemistry,Immunochemistry,Study of the interaction between monoclonal IgM proteins and the complement system.,"Füst, G, G; Csécsi-Nagy, M, M; Medgyesi, G A, GA; Kulics, J, J; Gergely, J, J",1976,Oct,NA
12108,0019-2791,Immunochemistry,Immunochemistry,Purification of peroxidase by isoelectric focusing. Use of ultrastructural localization of immunoglobulins.,"Rule, A H, AH; Schaumburg-Lever, G, G; Patel, R P, RP; Schmidt-Ullrich, B, B; Okun, M R, MR",1976,Oct,NA
12109,0019-2791,Immunochemistry,Immunochemistry,The question of specificity in binding human IgG subclasses to protein A-sepharose.,"Skvaril, F, F",1976,Oct,NA
12110,0019-5456,Indian journal of pediatrics,Indian J Pediatr,"Gastric acid, pH and pepsin in healthy and protein calorie malnourished children.","Shashidhar, S, S; Shah, S B, SB; Acharya, P T, PT",1976,Jun,NA
12111,0019-9567,Infection and immunity,Infect Immun,Microbicidal mechanisms of human granulocytes: synergistic effects of granulocyte elastase and myeloperoxidase or chymotrypsin-like cationic protein.,"Odeberg, H, H; Olsson, I, I",1976,Dec,NA
12112,0019-9605,L' Infirmiere canadienne,Infirm Can,[Chemical neuromediators and their reactions].,"Doughty, B, B; Crozier, J, J",1977,Jan,NA
12113,0340-0026,International journal of clinical pharmacology and biopharmacy,Int J Clin Pharmacol Biopharm,Effect of bromazepam on gastric acid secretion related to hypnotically induced anxiety.,"Stacher, G, G; Berner, P, P; Naske, R, R; Schuster, P, P; Stärker, H, H; Schulze, D, D",1976,Sep,NA
12114,0340-0026,International journal of clinical pharmacology and biopharmacy,Int J Clin Pharmacol Biopharm,"[Effect of fominoben on ventilation, oxygen uptake and blood gases in patients with obstructive ventilation disorders].","Mulac, K, K; Schmid, P, P; Muhar, F, F; Lochs, P, P; Schlick, W, W",1976,Sep,NA
12115,0340-0026,International journal of clinical pharmacology and biopharmacy,Int J Clin Pharmacol Biopharm,"Antihypertensive effect of labetalol, a new alpha- and beta-adrenergic blocking agent.","Hansson, L, L; Hänel, B, B",1976,Oct,NA
12116,0020-725X,International journal of fertility,Int J Fertil,Preliminary experience with vascularised Fallopian tube transplants in the human female.,"Cohen, B M, BM",1976,NA,NA
12117,0020-725X,International journal of fertility,Int J Fertil,Completed pregnancy following vascularized heterotopic autotransplantation of the Fallopian tube in the ewe.,"Cohen, B M, BM; Morgenthal, J C, JC; Davey, D A, DA; Van Niekerk, C H, CH; Uys, C J, CJ; Botha, M C, MC; Du Toit, E, E; Harrison, V C, VC; Hickman, R, R; Lotter, F, F; Poole, D M, DM",1976,NA,NA
12118,0020-725X,International journal of fertility,Int J Fertil,Hormone-receptor interactions--basic mechanisms.,"Smith, R G, RG",1976,NA,NA
12119,0020-725X,International journal of fertility,Int J Fertil,"Effect of caffeine on the motility, viability, oxygen consumption and glycolytic rate of ejaculated human normokinetic and hypokinetic spermatozoa.","Homonnai, Z T, ZT; Paz, G, G; Sofer, A, A; Kraicer, P F, PF; Harell, A, A",1976,NA,NA
12120,0020-725X,International journal of fertility,Int J Fertil,Blastoid transformation of lymphocytes in response to spermatozoa.,"Masson, D, D; Wesener, G, G; Krebs, D, D; Lehmann, F, F",1976,NA,NA
12121,0020-725X,International journal of fertility,Int J Fertil,"GPC diesterase activity in human endometrial secretion. (Its variations under the action of estrogens, clomiphene citrate, D-norgestrel (post-coital and low dose) and intrauterine device (IUD).)","Nicholson, R, R; Calamera, J C, JC",1976,NA,NA
12122,0020-725X,International journal of fertility,Int J Fertil,Frequency of Y-chromatin bearing spermatozoa in intracervical and intrauterine postcoital tests.,"Broer, K H, KH; Winkhaus, I, I; Sombroek, H, H; Kaiser, R, R",1976,NA,NA
12123,0020-725X,International journal of fertility,Int J Fertil,Tubal pregnancy in Nigerian Igbos.,"Onuigbo, W I, WI",1976,NA,NA
12124,0020-725X,International journal of fertility,Int J Fertil,The necessity for bilateral biopsy in oligo- and azospermia.,"Posinovec, J, J",1976,NA,NA
12125,0020-725X,International journal of fertility,Int J Fertil,Vascularised transplantation of the Fallopian tube in the human female--a proposed surgical technique.,"Cohen, B M, BM",1976,NA,NA
12126,0363-3918,International review of physiology,Int Rev Physiol,Ammonia production and excretion in the mammalian kidney.,"Goldstein, L, L",1976,NA,NA
12129,0017-8470,"Der Hautarzt; Zeitschrift fur Dermatologie, Venerologie, und verwandte Gebiete",Hautarzt,"[Classification, nomenclature and biologic significance of malignant melanona. Report of the 6th International Symposium ""Biological characterization of human tumors"", Section ""Malignant melanoma"", Copenhagen, May 16, 1975].","Illig, L, L",1976,Nov,NA
12127,0020-9996,Investigative radiology,Invest Radiol,Reduced red cell membrane potential and acidification of the plasma in response to contrast materials. Time course of the alteration in plasma pH.,"Lichtman, M A, MA; Murphy, M S, MS",NA,NA,NA
12128,0300-5526,Intervirology,Intervirology,Electrophoretic properties of temperature-sensitive mutant particles of simian virus 40.,"Zweig, M, M",NA,NA,NA
12130,0021-8987,Journal of applied physiology,J Appl Physiol,"Alterations in the coronary circulation of man following ascent to 3,100 m altitude.","Grover, R F, RF; Lufschanowski, R, R; Alexander, J K, JK",1976,Dec,NA
12131,0021-8987,Journal of applied physiology,J Appl Physiol,Ventilation in conscious dogs during acute and chronic hypercapnia.,"Jennings, D B, DB; Chen, C C, CC",1976,Dec,NA
12132,0021-8987,Journal of applied physiology,J Appl Physiol,Influence of carbon monoxide on hemoglobin-oxygen binding.,"Hlastala, M P, MP; McKenna, H P, HP; Franada, R L, RL; Detter, J C, JC",1976,Dec,NA
12133,0021-9193,Journal of bacteriology,J Bacteriol,Partial purification and some properties of delta1-pyrroline-5-carboxylate reductase from Escherichia coli.,"Rossi, J J, JJ; Vender, J, J; Berg, C M, CM; Coleman, W H, WH",1977,Jan,NA
12134,0021-9193,Journal of bacteriology,J Bacteriol,Chemotaxis toward amino acids by Bacillus subtilis.,"Ordal, G W, GW; Gibson, K J, KJ",1977,Jan,NA
12135,0021-9193,Journal of bacteriology,J Bacteriol,Properties of tyrosine-inhibitable 3-deoxy-d-arabinoheptulosonic acid-7-phosphate synthase from Salmonella.,"Hu, C Y, CY; Sprinson, D B, DB",1977,Jan,NA
12136,0021-9193,Journal of bacteriology,J Bacteriol,Vesicle penicillinase of Bacillus licheniformis: existence of periplasmic-releasing factor(s).,"Traficante, L J, LJ; Lampen, J O, JO",1977,Jan,NA
12137,0021-9193,Journal of bacteriology,J Bacteriol,Penicillinase-releasing protease of Bacillus licheniformis: purification and general properties.,"Aiyappa, P S, PS; Traficante, L J, LJ; Lampen, J O, JO",1977,Jan,NA
12138,0021-9193,Journal of bacteriology,J Bacteriol,Carboxylation of phosphoenolpyruvate by extracts of Neisseria gonorrhoeae.,"Cox, D L, DL; Baugh, C L, CL",1977,Jan,NA
12139,0021-9193,Journal of bacteriology,J Bacteriol,Mismatch excision and possible polarity effects result in preferred deoxyribonucleic acid strand of integration in pneumococcal transformation.,"Roger, M, M",1977,Jan,NA
12140,0021-9193,Journal of bacteriology,J Bacteriol,"Ultrastructural, physiological, and cytochemical characterization of cores in group D streptococci.","Coleman, S E, SE; Bleiweis, A S, AS",1977,Jan,NA
12141,0021-9193,Journal of bacteriology,J Bacteriol,Casamino acids enhance growth of Bacteroides melaninogenicus.,"Lev, M, M",1977,Jan,NA
12142,0021-924X,Journal of biochemistry,J Biochem,The chemical modification of beef liver catalase. V. Ethoxyformylation of histidine and tyrosine residues of catalase with diethylpyrocarbonate.,"Abe, K, K; Anan, F K, FK",1976,Aug,NA
12143,0021-924X,Journal of biochemistry,J Biochem,Involvement of cyclic GMP in the initial stage of hepatocytes proliferation.,"Miura, Y, Y; Iwai, H, H; Sakata, R, R; Ohtsuka, H, H; Elhanan, E, E",1976,Aug,NA
12144,0021-924X,Journal of biochemistry,J Biochem,Studies on phospholipase A in Trimeresurus flaoviridis venom. III. Purification and some properties of phospholipase A inhibitor in Habu serum.,"Kihara, H, H",1976,Aug,NA
12145,0021-924X,Journal of biochemistry,J Biochem,Studies on triglyceride lipases from rat adipose tissue.,"Matsumura, S, S; Matsuda, T, T; Matsuo, M, M; Kumon, A, A; Sudo, K, K",1976,Aug,NA
12146,0021-924X,Journal of biochemistry,J Biochem,Purification and properties of oxytocinase (cystine amino-peptidase) from monkey placenta.,"Hayashi, M, M; Oshima, K, K",1976,Aug,NA
12147,0021-924X,Journal of biochemistry,J Biochem,Isolation of myosin from starfish sperm heads.,"Mabuchi, I, I",1976,Aug,NA
12148,0021-924X,Journal of biochemistry,J Biochem,A clottable protein (coagulogen) from amoebocyte lysate of Japanese horseshoe crab (Tachypleus tridentatus). Its isolation and biochemical properties.,"Nakamura, S, S; Iwanaga, S, S; Harada, T, T; Niwa, M, M",1976,Nov,NA
12149,0021-924X,Journal of biochemistry,J Biochem,The mechanism of reassembly of immunoglobulin G.,"Azuma, T, T; Hamaguchi, K, K",1976,Nov,NA
12150,0021-924X,Journal of biochemistry,J Biochem,Interaction between D-amino acid oxidase and small molecules.,"Horiike, K, K; Shiga, K, K; Isomoto, A, A; Yamano, T, T",1976,Nov,NA
12151,0021-924X,Journal of biochemistry,J Biochem,A study of the interaction between D-amino acid oxidase and quasi-substrates.,"Shiga, K, K; Horiike, K, K; Isomoto, A, A; Yamano, T, T",1976,Nov,NA
12152,0021-924X,Journal of biochemistry,J Biochem,Physiological significance of Ca uptake by mitochondria in the heart in comparison with that by cardiac sarcoplasmic reticulum.,"Kitazawa, T, T",1976,Nov,NA
12153,0021-924X,Journal of biochemistry,J Biochem,Enzymatic studies on a cellulase system of Trichoderma viride. IV. Purification and properties of a less-random type cellulase.,"Okada, G, G",1976,Nov,NA
12154,0021-924X,Journal of biochemistry,J Biochem,Metabolism of triacylglycerol in Mycobacterium smegmatis.,"Nakagawa, H, H; Kashiwabara, Y, Y; Matsuki, G, G",1976,Nov,NA
12155,0021-924X,Journal of biochemistry,J Biochem,Hydrogen-deuterium exchange in the histidine residues of bovine alpha-lactalbumin.,"Takesada, H, H; Nakanishi, M, M; Tsuboi, M, M; Ajisaka, K, K",1976,Nov,NA
12156,0021-924X,Journal of biochemistry,J Biochem,The structure and function of acid proteases. VI. Effects of acid protease-specific inhibitors on the acid proteases from Aspergillus niger var. macrosporus.,"Chang, W J, WJ; Horiuchi, S, S; Takahashi, K, K; Yamasaki, M, M; Yamada, Y, Y",1976,Nov,NA
12157,0021-924X,Journal of biochemistry,J Biochem,Pepsinogen C and pepsin C from gastric mucosa of Japanese monkey. Purification and characterization.,"Kageyama, T, T; Takahashi, K, K",1976,Nov,NA
12158,0301-3952,Journal de biologie buccale,J Biol Buccale,[Dissolution kinetics of synthetic hydroxyapatite and human enamel crystals].,"Garnier, P, P; Voegel, J C, JC; Frank, R M, RM",1976,Dec,NA
12159,0021-9258,The Journal of biological chemistry,J Biol Chem,Human epidermal transglutaminase. Preparation and properties.,"Ogawa, H, H; Goldsmith, L A, LA",1976,Dec,10
12160,0021-9258,The Journal of biological chemistry,J Biol Chem,Activation of soluble guanylate cyclase from rat lung by incubation or by hydrogen peroxide.,"White, A A, AA; Crawford, K M, KM; Patt, C S, CS; Lad, P J, PJ",1976,Dec,10
12161,0021-9258,The Journal of biological chemistry,J Biol Chem,"Control of phosphofructokinase from rat skeletal muscle. Effects of fructose diphosphate, AMP, ATP, and citrate.","Tornheim, K, K; Lowenstein, J M, JM",1976,Dec,10
12162,0021-9258,The Journal of biological chemistry,J Biol Chem,"Solubilized nuclear ""receptors"" for thyroid hormones. Physical characteristics and binding properties, evidence for multiple forms.","Latham, K R, KR; Ring, J C, JC; Baxter, J D, JD",1976,Dec,10
12163,0021-9258,The Journal of biological chemistry,J Biol Chem,Photoactivated cross-linking of proteins within the erythrocyte membrane core.,"Mikkelsen, R B, RB; Wallach, D F, DF",1976,Dec,10
12164,0021-9258,The Journal of biological chemistry,J Biol Chem,Evaluation of the H+/site ratio of mitochondrial electron transport from rate measurements.,"Reynafarje, B, B; Brand, M D, MD; Lehninger, A L, AL",1976,Dec,10
12165,0021-9258,The Journal of biological chemistry,J Biol Chem,Nuclear magnetic resonance studies of sperm whale myoglobin specifically enriched with 13C in the methionine methyl groups.,"Jones, W C, WC; Rothgeb, T M, TM; Gurd, F R, FR",1976,Dec,10
12166,0021-9258,The Journal of biological chemistry,J Biol Chem,Investigation of microsomal oxygenases of biosynthetic processes. Stearyl-CoA desaturase of adipose tissue and liver.,"Seifried, H E, HE; Gaylor, J L, JL",1976,Dec,10
12167,0021-9258,The Journal of biological chemistry,J Biol Chem,Effect of organic phosphates on methemoglobin reduction by ascorbic acid.,"Tomoda, A, A; Matsukawa, S, S; Takeshita, M, M; Yoneyama, Y, Y",1976,Dec,10
12168,0021-9258,The Journal of biological chemistry,J Biol Chem,Spectrophotometric study of spontaneous disproportionation of superoxide anion radical and sensitive direct assay for superoxide dismutase.,"Marklund, S, S",1976,Dec,10
12169,0021-9258,The Journal of biological chemistry,J Biol Chem,pH-dependent effects of Cr(NH3)2ATP on kinetics of yeast hexokinase PII. Relationship to the slow transition mechanism.,"Peters, B A, BA; Neet, K E, KE",1976,Dec,10
12170,0021-9258,The Journal of biological chemistry,J Biol Chem,Catalytic mechanisms of glutamine synthetase enzymes. Studies with analogs of possible intermediates and transition states.,"Wedler, F C, FC; Horn, B R, BR",1976,Dec,10
12171,0021-9258,The Journal of biological chemistry,J Biol Chem,Adrenodoxin reductase-adrenodexin complex.,"Lambeth, J D, JD; McCaslin, D R, DR; Kamin, H, H",1976,Dec,10
12172,0021-9258,The Journal of biological chemistry,J Biol Chem,"Hemoglobin providence. Functional consequences of two alterations of the 2,3-diphosphoglycerate binding site at position beta 82.","Bonaventura, J, J; Bonaventura, C, C; Sullivan, B, B; Ferruzzi, G, G; McCurdy, P R, PR; Fox, J, J; Moo-Penn, W F, WF",1976,Dec,10
12173,0021-9258,The Journal of biological chemistry,J Biol Chem,Post-proline cleaving enzyme. Purification of this endopeptidase by affinity chromatography.,"Koida, M, M; Walter, R, R",1976,Dec,10
12174,0021-9258,The Journal of biological chemistry,J Biol Chem,A new endoribonuclease from Escherichia coli. Ribonuclease N.,"Misra, T K, TK; Rhee, S, S; Apirion, D, D",1976,Dec,10
12175,0021-9258,The Journal of biological chemistry,J Biol Chem,A nonelectrogenic H+ pump in plasma membranes of hog stomach.,"Sachs, G, G; Chang, H H, HH; Rabon, E, E; Schackman, R, R; Lewin, M, M; Saccomani, G, G",1976,Dec,10
12176,0021-9258,The Journal of biological chemistry,J Biol Chem,Binding of inostiol hexaphosphate to deoxyhemoglobin.,"Edalji, R, R; Benesch, R E, RE; Benesch, R, R",1976,Dec,10
12177,0021-9258,The Journal of biological chemistry,J Biol Chem,Appearance of magnesium guanylate cyclase activity in rat liver with sodium azide activation.,"Kimura, H, H; Mittal, C K, CK; Murad, F, F",1976,Dec,25
12178,0021-9258,The Journal of biological chemistry,J Biol Chem,"Synthesis of bound adenosine triphosphate from bound adenosine diphosphate by the purified coupling factor 1 of chloroplasts. Evidence for direct involvement of the coupling factor in this ""adenylate kinase-like"" reaction.","Moudrianakis, E N, EN; Tiefert, M A, MA",1976,Dec,25
12179,0021-9258,The Journal of biological chemistry,J Biol Chem,Purification and properties of squid mantle adenylate kinase. Role of NADH in control of the enzyme.,"Storey, K B, KB",1976,Dec,25
12180,0021-9258,The Journal of biological chemistry,J Biol Chem,Latency of inosine-5'-diphosphatase in microsomes isolated from rat liver.,"LIttle, J S, JS; Thiers, D R, DR; Widnell, C C, CC",1976,Dec,25
12181,0021-9258,The Journal of biological chemistry,J Biol Chem,Aggregation of deoxyhemoglobin subunits.,"McGovern, P, P; Reisberg, P, P; Olson, J S, JS",1976,Dec,25
12182,0021-9258,The Journal of biological chemistry,J Biol Chem,Comparison of the size and physical properties of gamma-glutamyltranspeptidase purified from rat kidney following solubilization with papain or with Triton X-100.,"Hughey, R P, RP; Curthoys, N, N",1976,Dec,25
12183,0021-9525,The Journal of cell biology,J Cell Biol,Plasma protein synthesis by isolated rat hepatocytes.,"Crane, L J, LJ; Miller, D L, DL",1977,Jan,NA
12184,0021-9525,The Journal of cell biology,J Cell Biol,Differential binding of methyl benzimidazol-2-yl carbamate to fungal tubulin as a mechanism of resistance to this antimitotic agent in mutant strains of Aspergillus nidulans.,"Davidse, L C, LC; Flach, W, W",1977,Jan,NA
12185,0300-922X,Journal of the Chemical Society. Perkin transactions 1,J Chem Soc Perkin 1,"Acid-catalysed ring contraction of steroidal 1 alpha,2alpha-epoxy-4-en-3-ones.","Maione, A M, AM; Torrini, I, I; Romeo, A, A",1976,NA,NA
12186,0021-7697,Journal de chirurgie,J Chir (Paris),"[Ultra-selective vagotomy in the treatment of duodenal ulcer. Report on the round table discussion (77th French Surgery Congress, 1975)].",,1976,Oct,NA
12187,NA,Journal of chromatography,J Chromatogr,Chromatographic characterization of phenothiazine drugs by a reversed-phase thin-layer technique.,"Hulshoff, A, A; Perrin, J H, JH",1976,Dec,22
